Date,Tweet_ID,Tweet_ID_precision,Raw Text,Likes,Retweets
Mon Aug 12 23:44:09 +0000 2024,1823143465448034358,exact,#ΦωτιέςΣτηνΑττική: Βρέθηκε #απανθρακωμένη #σορός γυναίκας σε #βιοτεχνία που κάηκε στο #Χαλάνδρι // #ΕΛΛΑΔΑ #Βριλήσσια #φλόγες #φωτιά #φωτιές #πυρκαγιές #Πεντέλη #Βριλήσσια #Greece #fires #LosAngeles #Αττική  https://t.co/6Tkrk8ieLj,2,2
Mon Aug 12 23:43:51 +0000 2024,1823143391628255267,exact,#ΦωτιέςΣτηνΑττική: Βρέθηκε #απανθρακωμένη #σορός γυναίκας σε #βιοτεχνία που κάηκε στο #Χαλάνδρι // #ΕΛΛΑΔΑ #Βριλήσσια #φλόγες  #φωτιά #φωτιές #πυρκαγιές #Πεντέλη #Βριλήσσια #Greece #fires #LosAngeles #Αττική  https://t.co/CtSoxIuVbz,1,1
Mon Aug 12 23:43:08 +0000 2024,1823143209993957737,exact,"Γλυφάδα: «Τη βάλαμε για παιχνίδι», δήλωσαν οι δύο ανήλικοι που συνελήφθησαν για τη #φωτιά  https://t.co/nep7foTHs2",4,0
Mon Aug 12 23:41:43 +0000 2024,1823142853867913650,exact,"😍🥹😍🥹😍 Ανθρωπιά!!! And if you don’t know what that means, look it up.  #Greece  #GreeceFires  @user Κάθε χρονιά και χειρότερα! Τι πρέπει να γίνει δηλαδή, να βάλουμε στο σπίτι σου φωτιά να καταλάβεις?!???",3,0
Mon Aug 12 23:40:58 +0000 2024,1823142664956674483,exact,🔥 Σχεδόν 4.000.000 στρέμματα κάηκαν τα τελευταία 5 χρόνια   🗺️ Αυτή η έκταση ισοδυναμεί με το 3% της συνολικής έκτασης της χώρας  🔴 Η ίδια έκταση θα χρειαζόταν 15 χρόνια να καεί με βάση το μέσο όρο καμένων στρεμμάτων από το 2008-2018  ❌2⃣ Διπλάσια έκταση καμένων ανά πυρκαγιά https://t.co/pMiJk6rQst,514,305
Mon Aug 12 23:39:17 +0000 2024,1823142243110174723,exact,Σπέτσες: Φωτιά σε πλοίο στο παλιό λιμάνι – ΒΙΝΤΕΟ https://t.co/wfU38juepR,0,0
Mon Aug 12 23:38:56 +0000 2024,1823142155466219969,exact,"@user Στις δασικές πυρκαγιές δεν σβήνεις την φωτιά αλλά την σταματάς είτε με ψύξη του χώρου με νερό,  είτε με αποψίλωση.",0,0
Mon Aug 12 23:37:36 +0000 2024,1823141818491379837,exact,@user Ας καταργήσουμε την πυροσβεστική και να βάλουμε αλληλέγγυους να μας προστατεύουν...,0,0
Mon Aug 12 23:36:12 +0000 2024,1823141466840903797,exact,"Αστεροσκοπείο Αθηνών: Αναζωπύρωση στις εγκαταστάσεις μετά τα μεσάνυχτα, εντοπίστηκε και κατεστάλη έγκαιρα https://t.co/SWHEGRv8yW https://t.co/EdHKwIse0W",4,1
Mon Aug 12 23:36:07 +0000 2024,1823141443265049063,exact,"@user @user ""Βιβλικών καταστροφών"". Δεν ξέρετε τι λέτε και τι γράφετε. Η φωτιά μπήκε στα σπίτια λόγω ανικανότητας οργάνωσης.  Είστε επικίνδυνοι για την δημόσια ασφάλεια. Δεν μπορείτε να προστατέψετε κανέναν.",0,0
Mon Aug 12 23:35:32 +0000 2024,1823141298724814931,exact,@user @user Το τι θα κάνω εγώ είναι δικό μου θέμα φωτεινε παντογνώστη   Όσο για την φωτιά όχι θα περιμένω να την σβήσουν οι μπάτσοι που προσλαμβάνει το κράτος με τις αύρες τους,0,0
Mon Aug 12 23:35:25 +0000 2024,1823141269075366144,exact,"Άφησε 16χιλ να πεθάνουν χωρίς ΜΕΘ στον κορονοϊο,  57 νεκρούς στο έγκλημα στα Τέμπη, 2,5εκ στρέμματα να καούν, πανώλη στη Θεσσαλία, ελικόπτερα να βουλιάξουν φωτιά προχώρησε 30χλμ και έκαψε μια πόλη(Βριλήσσια)  5 χρονιες συνεχείς επιτυχίες Μητσοτακη https://t.co/oOrGvbBCqT",156,41
Mon Aug 12 23:35:15 +0000 2024,1823141225282863223,exact,@user Ναι. 218.000 στρέμματα πριν τη #φωτιά στην Ανατολική Αττική που είναι 100.000+. Ξεπερνούσαν σε καμμένη έκταση ήδη 10 έτη από τα τελευταια 19. https://t.co/L3bW8oULNw,4,0
Mon Aug 12 23:34:30 +0000 2024,1823141040145961260,exact,@user Ευτυχώς το είχαμε τότε με την φωτιά στο μάτι....,0,0
Mon Aug 12 23:34:27 +0000 2024,1823141025873080336,exact,"@user ""Δεν υπήρξαν ιδιαίτερα σοβαρές φωτιές""...!!!! Καίγεται Η Ελλάδα, απ'το βορά μέχρι το νότο, και η κυρά Μάρθα...χτενιζεται!!! Ζουρλομανδύας σας πρέπει, σαπάκια του καθεστώτος Μιζοτακη...",5,1
Mon Aug 12 23:33:05 +0000 2024,1823140681134530570,exact,"@user Θα άραζαν σε κανένα ύψωμα, θα έβλεπαν την φωτιά , θα έπιναν μπύρες και μπάφους ακούγοντας εντεχνοκουλτουριάρικα επαναστατικά τραγούδια.",1,0
Mon Aug 12 23:32:52 +0000 2024,1823140627418116236,exact,Αμα πιασει φωτιά η κυψέλη πείτε μου.,0,0
