Tweet_ID,toponym,gold_toponym,orig_geocoded_as,orig_success,now_n_candidates,now_top_name,now_success,shift_km,orig_within_10km,now_within_10km,orig_choice_rank_today
1940487636185239808,αχλια ιεραπετρας,Αχλιά Ιεράπετρας,Αχλιά,True,1,Αχλιά,True,0.0,True,True,0.0
1940487636185239808,φερμα,Φέρμα Ιεράπετρας,Φέρμα,True,1,Φέρμα,True,0.0,True,True,0.0
1940490715630629120,ιεραπετρα,Ιεράπετρα,Δημοτική Ενότητα Ιεράπετρας,True,3,Ιεράπετρα,True,8.565,True,True,1.0
1940492437757350144,ιεραπετρα,Δημοτική Ενότητα Ιεράπετρας,Δημοτική Ενότητα Ιεράπετρας,True,3,Ιεράπετρα,True,8.565,True,True,1.0
1940496484375712256,ιεραπετρα,Ιεράπετρα,Δημοτική Ενότητα Ιεράπετρας,True,3,Ιεράπετρα,True,8.565,True,True,1.0
1940498172675314176,ιεραπετρα,Ιεράπετρα,Δημοτική Ενότητα Ιεράπετρας,True,3,Ιεράπετρα,True,8.565,True,True,1.0
1940498172675314176,χαλκιδικη,Χαλκιδική,Χαλκιδική,True,1,Χαλκιδική,True,0.0,True,True,0.0
1940498172675314176,κυθηρα,Κύθηρα,Κύθηρα,True,2,Κύθηρα,True,0.0,True,True,0.0
1940501021337481728,λασιθι,Περιφερειακή Ενότητα Λασιθίου,Περιφερειακή Ενότητα Λασιθίου,True,5,Οροπέδιο Λασιθίου,True,40.418,True,False,4.0
1940501398858219776,λασιθι,Περιφερειακή Ενότητα Λασιθίου,Περιφερειακή Ενότητα Λασιθίου,True,5,Οροπέδιο Λασιθίου,True,40.418,True,False,4.0
1940504523027747072,αχλια,Αχλιά,Αχλιά,True,2,Αχλιά,True,459.556,True,False,1.0
1940504523027747072,ιεραπετρα,Ιεράπετρα,Δημοτική Ενότητα Ιεράπετρας,True,3,Ιεράπετρα,True,8.565,True,True,1.0
1940504523027747072,φερμα,Φέρμα,Φέρμα,True,1,Φέρμα,True,0.0,True,True,0.0
1940507398361567744,ιεραπετρα,Ιεράπετρα,Δημοτική Ενότητα Ιεράπετρας,True,3,Ιεράπετρα,True,8.565,True,True,1.0
1940508570698887168,ιεραπετρα,Δημοτική Ενότητα Ιεράπετρας,Δημοτική Ενότητα Ιεράπετρας,True,3,Ιεράπετρα,True,8.565,True,True,1.0
1940515268251602944,αχλια λασιθιου,Αχλιά Λασιθίου,Αχλιά,True,1,Αχλιά,True,0.0,True,True,0.0
1940528636932805120,φερμα ιεραπετρας,Φέρμα Ιεράπετρας,Φέρμα,True,1,Φέρμα,True,0.0,True,True,0.0
1940528636932805120,κρητη,Κρήτη,Κρήτη,True,1,Κρήτη,True,0.0,True,True,0.0
1940551486699983104,λασιθι,Περιφερειακή Ενότητα Λασιθίου,Περιφερειακή Ενότητα Λασιθίου,True,5,Οροπέδιο Λασιθίου,True,40.418,True,False,4.0
1940556961453613056,ιεραπετρα,Δημοτική Ενότητα Ιεράπετρας,Δημοτική Ενότητα Ιεράπετρας,True,3,Ιεράπετρα,True,8.565,True,True,1.0
1944188308168274432,σχηματαριου βοιωτιας,Σχηματάρι Βοιωτίας,FAILED_TO_GEOCODE,False,2,Δημοτική Ενότητα Σχηματαρίου,True,,False,True,
1944784508554744064,προφητη ηλια,Προφήτης Ηλίας,Συνοικία Προφήτη Ηλία,True,0,,False,,False,False,
1945155108179771648,σκαλοχωρι λεσβου,Σκαλοχώρι Λέσβου,Σκαλοχώρι,True,1,Σκαλοχώρι,True,0.0,True,True,0.0
1946289449085600000,χαλανδρι αττικης,Χαλάνδρι,Χαλάνδρι,True,3,Χαλάνδρι,True,0.0,True,True,0.0
1946303505502798080,πυλαια θεσσαλονικης,Πυλαία Θεσσαλονίκης,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1946349099009159680,ζεφυρι αττικης,Ζεφύρι,FAILED_TO_GEOCODE,False,1,Δημοτική Ενότητα Ζεφυρίου,True,,False,True,
1946911402033098752,νεοχωρακι βοιωτιας,Νεοχωράκι Βοιωτίας,Νεοχωράκι,True,1,Νεοχωράκι,True,0.0,True,True,0.0
1948067850603880704,θεσσαλονικη,Θεσσαλονίκη,Θεσσαλονίκη,True,1,Θεσσαλονίκη,True,0.0,True,True,0.0
1948070154082107904,λαρισα,Λάρισα,Λάρισα,True,2,Λάρισα,True,223.542,False,True,1.0
1948070154082107904,αμουρι ελασσονας,Αμούρι Ελασσόνας,FAILED_TO_GEOCODE,False,1,Αμούρι,True,,False,True,
1948075362765754624,αλιβερι,Αλιβέρι,Αλιβέρι,True,1,Αλιβέρι,True,0.0,True,True,0.0
1948075475139518464,πτολεμαιδας,Πτολεμαΐδα,FAILED_TO_GEOCODE,False,7,Λιγνιτωρυχείο Πτολεμαΐδας,True,,False,False,
1948077026436669696,λεμεσο,Λεμεσός,Λεμεσός,True,0,,False,,True,False,
1948077026436669696,παφο,Πάφος,Δήμος Πάφου,True,0,,False,,True,False,
1948077026436669696,βασα κοιλανιου,Βάσα Κοιλανίου,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1948077026436669696,αγιας βαρβαρας,Αγία Βαρβάρα Πάφου,FAILED_TO_GEOCODE,False,1,Αγίας Βαρβάρας (Δημάρχου Ν.Κακαρά),True,,False,False,
1948077026436669696,νατας,Νατά,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1948077026436669696,επισκοπης,Επισκοπή Πάφου,Κοινότητα Επισκοπής,True,4,Δημοτική Ενότητα Επισκοπής,True,351.975,False,False,2.0
1948078944311288320,σιλικου,Σιλίκου,FAILED_TO_GEOCODE,False,1,Συλίκου,True,,False,True,
1948085064723468288,σουνι,Σούνι-Ζανατζιά,FAILED_TO_GEOCODE,False,1,Souni-Zanakia,True,,False,True,
1948091949438693376,παφος,Πάφος,FAILED_TO_GEOCODE,False,1,Δήμος Πάφου,True,,False,True,
1948091949438693376,λεμεσος,Λεμεσός,Λεμεσός,True,2,Λεμεσός,True,0.801,True,True,0.0
1948093299702604032,φενεο κορινθιας,Φενεός Κορινθίας,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1948096168061456896,φενεο κορινθιας,Φενεός Κορινθίας,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1948097950954979840,κορινθια,Περιφερειακή Ενότητα Κορινθίας,Περιφερειακή Ενότητα Κορινθίας,True,1,Περιφερειακή Ενότητα Κορινθίας,True,0.0,True,True,0.0
1948104119182356992,κορινθια,Περιφερειακή Ενότητα Κορινθίας,Περιφερειακή Ενότητα Κορινθίας,True,1,Περιφερειακή Ενότητα Κορινθίας,True,0.0,True,True,0.0
1948104119182356992,φενεο,Φενεός,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1948110190718361856,γεφυρι της ερημης,,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1948110433073656064,πλατρες,Πάνω Πλάτρες,Πάνω Πλάτρες,True,2,Πάνω Πλάτρες,True,0.0,True,True,0.0
1948110433073656064,λεμεσο,Λεμεσός,Λεμεσός,True,0,,False,,True,False,
