Date;Tweet_ID;Username;Raw Text;Likes;Retweets;is_fire;is_forest;is_urban
Mon Aug 12 23:20:50 +0000 2024;1,82314E+18;ΑΚΑΛΑ;Καληνυχτα Ελλάδα.  Κλείσε τα φωτα σου, θα σε φωτίζει η φωτιά κι αν τη σβήσουν μη φοβάσαι ολο και κάποιος θα βρεθεί να σε φωτίσει πάλι. #φωτια #φωτια_πεντελη #φωτιατωρα;6;0;;;
Mon Aug 12 23:20:07 +0000 2024;1,82314E+18;Λέπουρας;@LamprosDrosos Θα έριχνε π ρωσικός γίγαντας μέσα στον αστικό ιστό 2 ρίψεις και θα έσβηνε η φωτιά στις αυλές των σπιτιών;0;0;;;
Mon Aug 12 23:20:05 +0000 2024;1,82314E+18;𝙰 𝚝 𝚑 𝚒 𝚗 𝚎 𝚘 𝚜 🦋;Μάλλον φταίει το φαινόμενο των Κικιλήδων  #φωτιά;2;2;;;
Mon Aug 12 23:20:05 +0000 2024;1,82314E+18;Όχιεγώ Έναςάλλος;@OrMakes @HonErich Και πέρυσι δεν είχε μείνει δέντρο και πρόπερσι και πριν 2 και 3 χρόνια πάλι δέντρο δεν είχε μείνει. Τι στο καλό καίγεται κάθε χρόνο ρε σαΐνι??;1;0;;;
Mon Aug 12 23:18:57 +0000 2024;1,82314E+18;Zoro;Το βαφτιστηρι του Κωνσταντίνου Μητσοτάκη, ο Συνολακης θα είχε σβήσει τη φωτιά 🔥🔥🔥 σε 20-25 λεπτά.... Η μήπως όχι;;;;;
Mon Aug 12 23:18:22 +0000 2024;1,82314E+18;George Syriopoulos;Η φωτιά που κατακαίει χωρίς έλεος τη φύση και το βιός συνανθρώπων μας στην Αττική αφήνει πίσω της πληγές που δεν επουλώνονται με λόγια.   Κορυφαίο ζητούμενο να μη θρηνήσουμε απώλεια ζωής. Και φυσικά να βρεθεί φόρμουλα άμεσης αποκατάστασης των υποδομών και των ιδιωτικών https://t.co/Flyr0sadb4;4;0;;;
Mon Aug 12 23:18:11 +0000 2024;1,82314E+18;The Drifter;@el_ges Από που έχουν εμπειρία οι Παλαιστίνιοι σε δασικές πυρκαγιές ? Αν πάρει φωτιά η άμμος, θα τους φωνάξουμε.;2;0;;;
Mon Aug 12 23:18:09 +0000 2024;1,82314E+18;PLURALISM.GR;Συναγερμός στην Θεσσαλονίκη: Φωτιά στο πρώην στρατόπεδο ... https://t.co/H9NuxnvQk6 https://t.co/sumUlyPxuP;0;0;;;
Mon Aug 12 23:18:01 +0000 2024;1,82314E+18;E. I. Menutti;Η #κηλίδωση μιας χώρας #Μητσοτακης #Πάτημα_Χαλανδρίου #Αστεροσκοπείο #Σταμάτα #Γραμματικο #Δέση_Γέρακα #Πεντέλη #ΤΕΡΝΑ #εκκένωση #εναέρια_μέσα #φωτια #ΝΔ_ΣΥΜΜΟΡΙΑ #ΝΔ_απατεωνες  #κυβερνηση_τσιρκο #Κικιλιας #εκκένωση  #Πυρκαγιες #Πεντέλη #πυροσβέστες #ζώα_φωτιά  #Μάτι #Χαλανδρι https://t.co/jfmLTdg2s4;0;0;;;
Mon Aug 12 23:17:47 +0000 2024;1,82314E+18;Σατανικό Αβοκάντο 🥑;Είμαστε σίγουροι ότι έσβησε η φωτιά δω πάνω Ε;;;;;
Mon Aug 12 23:17:38 +0000 2024;1,82314E+18;Athens0100;Η φωτιά πλησιάζει τα σπίτια στη Νέα Μάκρη πάνω από το Κέντρο Υγείας Νέας Μάκρης #112 #ΝεαΜακρη #Μαραθωνας  #φωτια #φωτιατωρα https://t.co/gJB460dGRz;1;0;;;
Mon Aug 12 23:16:41 +0000 2024;1,82314E+18;ManlyBear5;@tbickle1976 Γίνεται και αυτό. Απλώς επειδή είναι κωλοζωα ή επειδή το κάνουν επίτηδες ξεχνάνε να πούνε ότι η φωτιά δεν καίει τα δέντρα αλλά την χαμηλή ξερή βλάστηση, τα χόρτα και τα ξερά φύλλα κλπ. Και μην σου πω ότι αυτό είναι και καλό γιατί καθαρίζεται ;0;0;;;
Mon Aug 12 23:16:41 +0000 2024;1,82314E+18;stratos;https://t.co/yY39fqz1O1  #φωτια #πυρκαγια  Μπήκε στην πόλη η φωτιά, με μία νεκρή σε επιχείρηση που καιγόταν;0;0;;;
Mon Aug 12 23:16:17 +0000 2024;1,82314E+18;Romios;ΕΚΤΑΚΤΟ: Φωτιά στον πυρηνικό σταθμό Ζαπορίζια μετά από βομβαρδισμό των Ουκρανοναζί https://t.co/aoSFx51Elu;0;0;;;
