Tweet_ID,toponym,base_dist_km,optimized_dist_km
1955414925293072896,Πάτρα,6.249,6.163
1955417026849280256,Κάτω Συχαινά,1.216,1.317
1955417026849280256,Ανθούπολη,171.669,1087.875
1955417026849280256,Πάτρα,0.082,6.042
1955417026849280256,Συχαινά,1.055,0.231
1955417276334981632,Βολισσός ,,
1955417276334981632,Λημνιά,,
1960810013292663296,Σαλαμίνα,3.077,3.077
1960831576553771520,Σαλαμίνα,3.047,3.047
1961038273700119040,Διαβολογέφυρο Τροιζηνίας  ,,
1961041489825239040,Πρέβεζα,0.268,0.268
1961043679117766656,Πρέβεζα,0.253,0.253
1961043679117766656,Αηδόνι,368.18,0.038
1961043679117766656,Κλεισούρα,290.786,26.726
1961046383017820416,Αηδόνι,0.106,0.106
1961066140664316160,Εύβοια,0.0,0.0
1961100987726430464,Παρατηρητής Κομοτηνής,16.396,16.396
1961102799577497856,Ήφαιστος Κομοτηνής,,
1961105315232878848,Σαλαμίνα,3.065,3.065
1961109281261895680,Κομοτηνή,0.216,0.216
1961109287477928448,Κομοτηνή,0.107,0.107
1961110667567784448,Κομοτηνή,,0.107
1963566297297432576,Χορτιάτης,0.149,0.149
1963570136180281600,Βρίσα,0.181,0.181
