Date;Tweet_ID;Raw Text;Likes;Retweets;is_fire;is_wildland;is_urban
Mon Aug 12 23:14:11 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:14:09 +0000 2024;1,82E+18;;5;1;;;
Mon Aug 12 23:14:05 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 23:13:44 +0000 2024;1,82E+18;;1;1;;;
Mon Aug 12 23:13:22 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:13:19 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:12:51 +0000 2024;1,82E+18;;6;0;;;
Mon Aug 12 23:12:51 +0000 2024;1,82E+18;;43;24;;;
Mon Aug 12 23:12:50 +0000 2024;1,82E+18;;10;0;;;
Mon Aug 12 23:12:48 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 23:12:36 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:12:28 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 23:12:27 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 23:12:08 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 23:10:54 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:10:06 +0000 2024;1,82E+18;;1;1;;;
Mon Aug 12 23:09:46 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:09:35 +0000 2024;1,82E+18;;5;0;;;
Mon Aug 12 23:09:06 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:09:02 +0000 2024;1,82E+18;;86;36;;;
Mon Aug 12 23:08:49 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:08:09 +0000 2024;1,82E+18;;10;1;;;
Mon Aug 12 23:06:50 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 23:04:53 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:04:36 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:04:20 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:03:55 +0000 2024;1,82E+18;;53;6;;;
Mon Aug 12 23:03:46 +0000 2024;1,82E+18;;13;1;;;
Mon Aug 12 23:03:11 +0000 2024;1,82E+18;;51;178;;;
Mon Aug 12 23:03:03 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:02:39 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:02:23 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:01:52 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:01:42 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 23:01:36 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 23:01:29 +0000 2024;1,82E+18;;3;1;;;
Mon Aug 12 23:01:23 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:01:17 +0000 2024;1,82E+18;;9;0;;;
Mon Aug 12 23:01:04 +0000 2024;1,82E+18;;14;1;;;
Mon Aug 12 23:00:57 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:00:55 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:00:46 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:00:38 +0000 2024;1,82E+18;;2;6;;;
Mon Aug 12 23:00:31 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:00:23 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 23:00:20 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:00:18 +0000 2024;1,82E+18;;7;3;;;
Mon Aug 12 23:00:14 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:59:57 +0000 2024;1,82E+18;;16;4;;;
Mon Aug 12 22:59:36 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:59:32 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:59:04 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:58:52 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:58:50 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:58:09 +0000 2024;1,82E+18;;4;1;;;
Mon Aug 12 22:57:17 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:57:15 +0000 2024;1,82E+18;;12;1;;;
Mon Aug 12 22:57:11 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:57:05 +0000 2024;1,82E+18;;26;5;;;
Mon Aug 12 22:56:49 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:56:34 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:56:12 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:56:11 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:54:57 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:54:37 +0000 2024;1,82E+18;;83;6;;;
Mon Aug 12 22:54:25 +0000 2024;1,82E+18;;4;1;;;
Mon Aug 12 22:53:56 +0000 2024;1,82E+18;;3;1;;;
Mon Aug 12 22:53:49 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:53:41 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:53:07 +0000 2024;1,82E+18;;18;6;;;
Mon Aug 12 22:52:50 +0000 2024;1,82E+18;;42;139;;;
Mon Aug 12 22:52:45 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:52:45 +0000 2024;1,82E+18;;10;3;;;
Mon Aug 12 22:52:31 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:52:29 +0000 2024;1,82E+18;;1597;336;;;
Mon Aug 12 22:52:20 +0000 2024;1,82E+18;;44;17;;;
Mon Aug 12 22:52:09 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:51:44 +0000 2024;1,82E+18;;5;1;;;
Mon Aug 12 22:51:01 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:50:49 +0000 2024;1,82E+18;;6;0;;;
Mon Aug 12 22:50:43 +0000 2024;1,82E+18;;5;10;;;
Mon Aug 12 22:50:36 +0000 2024;1,82E+18;;24;3;;;
Mon Aug 12 22:50:07 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:49:45 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:49:41 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 22:49:39 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:49:36 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:49:31 +0000 2024;1,82E+18;;1;1;;;
